data,atividade,pastoral,hora,local
2020-12-12,Terço de sábado,,18:00,Facebook
2020-12-20,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-12-20,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-12-20,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-12-20,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-12-22,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-12-19,Terço de sábado,,18:00,Facebook
2020-12-27,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-12-27,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-12-27,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-12-27,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-12-29,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-12-26,Terço de sábado,,18:00,Facebook
2021-01-03,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2021-01-03,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2021-01-03,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2021-01-03,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2021-01-05,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2021-01-02,Terço de sábado,,18:00,Facebook
